timestep, accuracy, iterations
787, 0.471, 100000000
788, 0.473, 100000000
789, 0.443, 100000000
790, 0.444, 100000000
791, 0.446, 100000000
792, 0.462, 100000000
793, 0.472, 100000000
794, 0.462, 100000000
795, 0.471, 100000000
796, 0.468, 100000000
797, 0.424, 100000000
798, 0.459, 100000000
799, 0.452, 100000000
15:55:49.781591
